10C 8C 9S 6S 3H 3S JD ,    Pair
2D KD 4C 4D JS 9C 5H ,    Pair
7S 8C 7C QC 7D 10C 8D ,    Pair
7H JC 5C QS 10S 2S 9H ,    High Card
8S AD 8H JH 9D KS KC ,    Two Pair
KS 6D 5H KH AC 3D QD ,    High Card
8S 2C 4H JS QH 10D JC ,    High Card
9D KC 3C QC 4S 8D 2D ,    High Card
JH 9D QC JS 4S 7S 4H ,    High Card
9C 5D 6S 4D QH 4C KH ,    High Card
QD QS AS 7C AC AH 3H ,    Two Pair
8D 3C AD 2C 6C 7H 3S ,    High Card
JD QS 8D 4H 9S 8C QD ,    High Card
5C JC AC 6D 2D KH JS ,    High Card
3H 3S KC 7D 4S 6S 6H ,    Two Pair
9D 9C 7C 2H 10D 6D 3H ,    Pair
2D 9H KD QD 2C 10D 2H ,    Pair
AH 7S JC 3S AD 10H 3D ,    High Card
AC QC 5C 4C JD 6H 6S ,    Flush
5H AS 9S 6D 8D 2S 10S ,    High Card
AH 2C 8D 8H 5C AS JS ,    Pair
9C QC JD 5D 5H 2S QH ,    Pair
8C KH 9H 7D KC 7H 9S ,    High Card
9C AH 6H 5C KD 8S 9H ,    High Card
4S 2D KH KC JC 2C 3S ,    Pair
8D QH 5H 2S 7H 8H JD ,    High Card
AC JH KS 6S 10S 8C 6D ,    High Card
KD 7C QH 4H 5C 3D KC ,    High Card
KS 8H 10S 7D 3H 5H 10H ,    High Card
8C 6C 4S 9H JD 9S 6S ,    High Card
3H 6C 6D 7H KH 4C 8C ,    Pair
2S 9D 10D JD AD QS JS ,    High Card
5C 9H 8D KC 6S KS 4H ,    High Card
JC 7D 8H 3C 5H 5S 9C ,    Pair
5S 4D KC JS 7H 10S 8H ,    High Card
KH 10C 3H AC 2D QH KD ,    High Card
JH KS 9S 6C 10D AD QC ,    High Card
7S 9C 9D 4C JH 3D 4H ,    Pair
KD 7C 7H 4S 2S 8S 9S ,    Pair
3C QH 6H QC 8H AC 7D ,    High Card
6C 5H 6S AH QD 5D 2C ,    Pair
9C 2C 5S 6C 9S QD KS ,    High Card
6H 3H QS KH QH 7H 7C ,    High Card
AC 9D 10S 2H 6D 8D AH ,    High Card
5H 4S QS 6C 7S 6H 5D ,    High Card
8S 2S 10D 8D KS 2D 7C ,    Pair
2H JD 10H 8H KH JS 6D ,    High Card
7H 9S 8C 3D KC 5S AS ,    High Card
JS KS 3H 8H JC 2H 10S ,    High Card
9S 4C KC 2D QC 4S AD ,    High Card
7C 7S 10C 7H 4D QS 5H ,    Three Kind
9D AH 4C JS 7D 3S 6H ,    High Card
10S 5H 5S JD JC 8H 6S ,    Two Pair
QH 3D JH 3H 4S AS 2H ,    High Card
6C QC KH 9H 10C 10H 8D ,    High Card
3H 10S JD 2S AD 8H 5D ,    High Card
3C 10H 5H 10C QH 6S QD ,    High Card
9C 4H AH 9D 10D AC 4S ,    High Card
9C JH 9H 9D 4C 2H AC ,    Pair
7C 4D 5D 2S 7H AD KS ,    High Card
KH 3D 8S AH 6S 4H KC ,    High Card
QD 2C 5S 3H 3S JS 7D ,    Pair
6C 10S 4D KS 2H 8S 9H ,    High Card
10H QC 6S 7C JH 8D 9D ,    High Card
9S 5D 4H QH JD KC AS ,    High Card
2D KD 7H AD 7D KH 9H ,    High Card
3S AS 10H 6S 4C QS 5D ,    High Card
10S JC 2D 9H 3H JH 9S ,    High Card
7S 6H 8C 8D QC 4S 5H ,    Straight
9D 10C 8H QD 10D 8S 4D ,    High Card
9C 9S QH 8H 7C 2D JC ,    Pair
6C 4D 10H JH 3C 5S JD ,    High Card
2C 10D KC 7D AC 7H 6D ,    High Card
2S 9H KS 2C 3H QD QH ,    High Card
6D AH 3S 7C AS 4H JH ,    High Card
4C 8C 9D KD 2H 5H 10H ,    High Card
8S JD 10C 4S 10S 4D 8H ,    Pair
4C 3H 9S 6S QD 10C 3D ,    High Card
AH 7D 6H AC QS AD QH ,    High Card
8C AS 2S 6C 5S 5H 2C ,    Pair
AH 4D 9S JH 10H 2D QD ,    High Card
9C 4S 7C 5C 3S JC 5S ,    High Card
QC 4H JD 7D 8H 8S 6H ,    Pair
7H 3H 9H 8C 3C KH 7S ,    High Card
QD 8C 4C 10S AH QC 2S ,    High Card
KD AD 9C 4D 10D 7S 10H ,    High Card
3H 9H JS 5H 3S 6S KS ,    High Card
8D 6C 4D 9H 3D 9C 9D ,    High Card
5C KC 2C 4C 2H KH 7D ,    Flush
5D 10H 3C 6H AS 5S 10C ,    High Card
QH 8H 8S 6S AC 6D JS ,    Pair
JS QC 4S 8S AC AS 7C ,    Pair
6D 7S 8D 4D 5H 4C 2D ,    Straight
3C 9C 6S 7H AD 9D 10D ,    High Card
9D JD JC 6C 8D KH 2H ,    Pair
JH 3C 7S 9C 10C 3D 6H ,    High Card
2C 6D 10S QS 8H 10D AS ,    High Card
5H 4C 9S AC QC 8C 5D ,    High Card
4D AC 6D 3S 5C 8H 8D ,    High Card
KH KS QC JC AS 10C 4H ,    Pair
10S 5S 9H AD 4C 6H 6C ,    High Card
KC 6D 3H 7C 4D 9C 6C ,    High Card
KH JS 9S QD 7H 3S 2S ,    High Card
10H 5S 10S 6S 5D 7S 8C ,    High Card
7D 2C 9H 9D AC QS AD ,    Pair
5H KH 6H 6S 2H 4S 5D ,    Pair
QC 8H 7D 3H JH 10D 8C ,    High Card
3C 6D 10C 9D AC JC 7S ,    High Card
AD 2C 9C JC 8S 3S 2H ,    High Card
10D 3H KC 2D KD 10C 5D ,    High Card
8C 5H 10S 3D JS 7D 5C ,    High Card
9D 6C 3C 7H 5S KS 6H ,    High Card
KS QC KC 9D KD QH JD ,    Pair
AC QS 7H JS 9S 9H 9C ,    Two Pair
AD 2H 5D KH 10C JH 8C ,    High Card
AD 9S 3C 4S 4H 7D 6H ,    Pair
7D JH KH 3S 6C 3D 3H ,    High Card
9D 7H 10D 9C QC AH 4D ,    Pair
JC AC 6S 5C 2C 10S KD ,    High Card
8D 5S QS 3C 2D 4C 8H ,    High Card
5S 2H QD KC JC 4D 9D ,    High Card
6S 5C QC 7C 6H 3C 8D ,    High Card
3H JS 5H AD 6D 9H KH ,    High Card
3C QH 4C AD KH 3S 3D ,    High Card
5S 6H 2D 3H KS QD 7D ,    High Card
10S 5D 9S 5H AC JC 4H ,    High Card
8D 2S 9D 7H 9C QS 4S ,    High Card
QC 10S 6S 9C QS 9D AH ,    High Card
JH 6H 4S 8H KC KS 3H ,    Pair
6D 10D KD JC KH 8D 3C ,    High Card
QD 6H 10C 2C 9H JD 2S ,    High Card
7H 6D KD 10H 6S 4S 9S ,    High Card
2H AH 3D 10S 5C 3H 5S ,    High Card
JH JC 7C 2D KC 7S 7D ,    Two Pair
3D 5D 6S 3S 7D JH 6D ,    High Card
8S QD AS KH 5H 9H QC ,    High Card
10D 5C JD JC JS 9C 10C ,    Pair
9S 10S KC 8C 7H JC 9D ,    High Card
AD AC 10C 4H 3S AS KD ,    Pair
8S 2S 8H 9C QS 6C 2D ,    Pair
5D KH 4D 2C 3H JH 8D ,    High Card
5D JC AS 6H 7S QC 7C ,    High Card
5S 8H 8S 10D 5H 10H 2S ,    Pair
9S 9H QH 10S 4S 7D 8C ,    Pair
5C 2S 2D QS 7S 7H 8S ,    Two Pair
AD 9H 10H 7D 3D 6S 9C ,    High Card
8H 9S 3H KD 2C 10C 6C ,    High Card
10S KC 5S 4D 8C 9D 3S ,    High Card
6H 5C 2S QD 9C 4D 7D ,    High Card
AC 4H 5D 9D QC 3H 10D ,    High Card
10C KS 2H 6C 3D JH 4C ,    High Card
7H 9D 6C 10S 2D 8H 2H ,    High Card
6D 9H KS AH 6S 5H 7S ,    High Card
3H 9C KH 10D QD QC JH ,    Pair
AC QS 10H 5C 9S 8S 7D ,    High Card
AS 3S 9D 4C 4H 8S 8C ,    Two Pair
JH AD 10S KH 3D 7H 5H ,    High Card
2D 6S QH KC JS 8H KS ,    High Card
4S KS 10C 8D 10S 7S 6S ,    High Card
8H JS AH QC 4H QH 7H ,    High Card
JC 9C 5D 6H 4C JD 5C ,    High Card
2H 5H KC 9H 7C 3C 2D ,    High Card
10C AS QD KD AD QH 7H ,    High Card
JS 9C AC KC 7C JD 7S ,    High Card
4D 4H 3C 7D 3D 9S 2S ,    Pair
8H 10D 5C QC 9D 4S QS ,    High Card
QC QS 6S 6D 8C 4S 6C ,    Two Pair
4D KD 7D 2S JC JH KH ,    Pair
7H KS 2D KC JD 10S 10C ,    High Card
AH 8H 9C 6H 4C 9H 3D ,    High Card
8H 3C JC JH 8D 4S JD ,    Pair
10D 2C 6S 6H QS 6D KH ,    Pair
3H 7D 2H 2S KS 9D 10H ,    Pair
4H 6C AC 5S JS 9H QC ,    High Card
7D 3H KS 9S 2C JC 6S ,    High Card
8S 5H AS 9D KH 6H 9C ,    High Card
4S 3D KC 3S 7S 2H JD ,    High Card
8C 7D AD QD 8H 5S KH ,    High Card
AH 5C QC KS 7C JH 10H ,    High Card
10S 6C 9D QS 4S 5D 4H ,    High Card
6H 10D 5C 7S AC 3S 2C ,    High Card
KD 8C 8H 10H JH 9D JD ,    Pair
5D QD 4H 9S AD 8S JC ,    High Card
3D 3C 7D 3H 4D 2S 6S ,    Pair
6S 2D QC 9H KS 8D 7D ,    High Card
JS 4C JC KH AD 2C 5C ,    Pair
10C 3H 4D 5S KD 5H QD ,    High Card
QD 9H 5C 7D 4C JS 2D ,    High Card
AD 3D 8H JC 3H KS AC ,    High Card
8S QS 7S 9S KC 9C JH ,    Flush
6C 5S 10S 8C 4D 3S QH ,    High Card
9D KD QC 6S 6C 6D 8C ,    Pair
2D KC 4C 5C 3D JH 9H ,    High Card
2H 9C 8S 10D 3H QS 7H ,    High Card
3H JH 4D 8D 8S 5S 9D ,    Pair
7D AD 6C 7S KD 6S 5H ,    High Card
8H 4C QD KH QS 10S AC ,    High Card
7H JD 3S JS 10D QH 5D ,    High Card
8D JD JH KH AS 5S 10S ,    Pair
4D 7D KD 3H 7C 2H 10C ,    High Card
10D 6H 7H 7S KC 9C AH ,    Pair
2S AC 5S 5D 2H QC 7C ,    Pair
5C KC 7D KS JS 6H AD ,    High Card
8H 6C QH QD JH AS 4D ,    Pair
8C KD 7H 9D 6D 4S 10C ,    High Card
AD QS 5D 4C 10H 5C QC ,    High Card
10S KS AC 4H AS JH 8D ,    High Card
3D KD JS AH 6H 2D 2H ,    High Card
JS 9S QC 5S 9H 8S 3D ,    High Card
10D 5H 3C 5D 6C 7C AH ,    High Card
AD QD KH 4C 2S QS 2D ,    High Card
4H 10S 5C 6S 10C 2H QH ,    High Card
JS 4D 8C 8H 8D QC 5S ,    Pair
QD 4C AH KD 9H AC 10C ,    High Card
3C 3H AD 3S 5C 6S 7S ,    Pair
5H JC AD 5S 8S 7S AC ,    High Card
JC KS KH 2D 3D AS 9H ,    Pair
JH 6H KC 5C 6D 10H AC ,    High Card
2H 7S 5H 6S 7D AD QD ,    High Card
10C 8H JD 7H 7C 2S 8S ,    Pair
JD AC QD JC 7H 4H 6S ,    High Card
JS 3D 3H 9S 10C KS 4S ,    Pair
10S 7D QS 9H 10D 4D 8S ,    High Card
6H 3S AD 9C 4H JD 7D ,    High Card
JS KC 10C QC 2H 5C 2S ,    High Card
4D 2D 2C 6C 7C 8H 7H ,    Pair
AH 8C 8D 3C 9S QS 3D ,    Pair
4S JD AS 5S 6C 2H 6D ,    High Card
JC 5D 7C 5H JS 9H 2C ,    High Card
10H 3S 7H QH KC 10S KH ,    Pair
AS 10D JH KC 5H 9H 8D ,    High Card
10C 3C 6H 5S 6S 7C AD ,    High Card
QD 5D 2S 10S AC 8S QS ,    High Card
KD 8H JD QH 4D 5C 9D ,    High Card
10S 9D 10D KS 3D 8D 7H ,    High Card
7S JS KD 5S 3C 5C 4C ,    High Card
10H 4S QC AC QH JH 9C ,    High Card
8D AS 2D 7D AD 4C 3H ,    High Card
3C QH AH QS JS 2H KD ,    High Card
3S 8H 9C 9D JC 2S 3D ,    Pair
10S 10H KC 5S AC JD 4D ,    High Card
2C AC 5H 7H 4C AS 9S ,    High Card
AH JH QS 3S 4D QH 6D ,    High Card
9C 3D AD 8D QC 8H 2H ,    High Card
JC 8S 9C 3D 9S 3S 5C ,    High Card
QS 10C 9D KS 8D 5S JD ,    High Card
6H 10H 6S 7H 4H 9H KH ,    Pair
JS 7S 8H 3H 6C 4S AS ,    High Card
8S 10C JS 10S 3S 3H KD ,    Pair
5D 6H 6S 5H 7D 4H 8C ,    Straight
KH 4D 2S JH 9C AD 7C ,    High Card
8D 2H AS 7C 5H JD KD ,    High Card
KS QC 3H 7D 9C 8C 5S ,    High Card
7H JH 2C 6D QH 10S QS ,    Pair
3D 5D 6S 9S 4C 2D 8S ,    High Card
4H 2H QC 2S 10D 10C 4S ,    High Card
8S QD JD 3S 8H AS QS ,    High Card
7C 5H 7S 7H AC 6D 9C ,    Pair
10D AC 8C 10H 7H AS 7S ,    High Card
9C AH 3S 4D 8D 10C 7D ,    High Card
6H 8H 8S QS KD 5S 7C ,    Pair
KC AD KS 3D JH 9H 6S ,    Pair
7D 6S 4H JD 10S 8D AD ,    High Card
9D 2D QC 7C KH 5H KC ,    High Card
3H 3S 8H KD 6H 2H 2C ,    Two Pair
9D 3S 8S 4H AH 9C AS ,    High Card
2C JD 5D 6S 6C 7S JC ,    Pair
5C 9H 2H AD 6H 4S 4H ,    High Card
9S 5S 9C 4C 6D KD QH ,    Pair
8C AH 3D 7C 10S 9D 8D ,    High Card
AS 4D 6S 5C JC 4S JH ,    High Card
8H 5H AC 5D 2D QS 7D ,    High Card
6H 6C KH 3D KD 6D JS ,    Pair
QH 8C 6S 2S QS 7S AH ,    High Card
AS KS 2C 9C 10H 3S 9D ,    High Card
8S 6D KC QC 10D 6H QD ,    High Card
7C JS 3C 10S 7H AD 3D ,    High Card
8H 10D 8D QH 7H 4D 9C ,    Pair
3D 10H 9H 10S 5H 6H 9D ,    High Card
JC 3H JH 4S 6S 7C 2C ,    Pair
3D 3C JS 6D AH 7D 4C ,    Pair
5C 10C 2C 4D 10S 7H AD ,    High Card
2D JC 9D 6H KH JD 8C ,    High Card
5H QH 9S JH 6S 5S 3S ,    High Card
5H JD QS 10C KS 7D 3D ,    High Card
5C AH QC 5D 10D 10H KD ,    High Card
2S 9C 9H 2C 6S 7C 6H ,    Pair
6H JH 10H KH 9D 4D 9S ,    High Card
8C 6S 3D JS 4H 6C 9H ,    High Card
10D KD 2D 3H QH 3S 6D ,    High Card
QD 4S JD JC 5H 8D 8S ,    Two Pair
4H 3D 7D 9D JD 5D 3C ,    Flush
8D 8S 8H 2S 5C 9C QD ,    Three Kind
7H 10D 3H 2D KH QS 8C ,    High Card
6C KC 8D AS 3H KD AD ,    High Card
5H 4S QC 5S 2C 10H 6D ,    High Card
4D 8S 4C 2S QD JS 5C ,    Pair
6S 7C 5D JD 7S 10S 3D ,    High Card
KC 7C 2H 5D AS 9D 3C ,    High Card
10C 9S JS 2C 4H 3H 4D ,    High Card
8H KH 10D 3D 7D 5H 4C ,    High Card
KD 2H AC QH 9H KC 8H ,    High Card
4H 3S JS 7C 5H 9S 6S ,    Straight
10H 3D 6D 10C 9C 10D 8D ,    High Card
KH 8C 5S 2S QD QS KS ,    Pair
9C 10H KD 4C 3H 10D AC ,    High Card
AH 6S 5S KS 9S AS KH ,    Flush
6H 8C 9D 5H 2C 7D 2H ,    Straight
3H 9C 9H 6H 9S KD QD ,    Pair
JD AD QS KC 10D 5C 6C ,    High Card
8S AS 2H 6D KH 10S QC ,    High Card
7S AH 4C 10H 8D 5D QH ,    High Card
5C JS 2C 6H 4S QS JD ,    High Card
3S 5H 8S 4H KH 7H AS ,    High Card
10C 8D 5S 7D 6D QC 4D ,    Straight
2S 10D KS 8H 8S JD KH ,    Pair
3H 4H 7D 3C AD 6S 6C ,    High Card
9S 3S 4C 8D 3D QH 5S ,    High Card
2C 9H 10S JH 2H 10H JS ,    High Card
7C 6H 7S JC 4S AS 10C ,    Pair
8H 5C 4H 7D KS KC AH ,    Pair
8S 5D JD QD AC 2D 3H ,    High Card
3D QC KD 10S 5S 6H 10C ,    High Card
10H 2H 5S 8S AD JS AH ,    High Card
7D 4S KH 8H JD KD QS ,    High Card
4H 3C QD AC 10C 3H 6H ,    High Card
4C JC 5H 3D 10S AS 8C ,    High Card
7C JH 10S 3D AD QH 6C ,    High Card
JD AH 8D 9H 9D 6H KC ,    Pair
QS QD 5S 9S JC 3H 8C ,    Pair
2D 9S KD 5H 5C AS 6C ,    Pair
4C 2S 8S JC QD 3C 10C ,    High Card
3D 2H QC AC 4H 9C 10H ,    High Card
6D QH 6H 4S AD 4D 3H ,    Pair
8C 4S QS 10S KH 6C KC ,    High Card
6H 10H 8H 9S JC 2H 5C ,    High Card
7D KS JD 8S AH JS JH ,    High Card
KH 5D 10C 4H QH 8C 3S ,    High Card
7D 3D 2C 10S 2S 3H 5H ,    Pair
JS 8S 5C KC 7S 7H KD ,    Pair
7C 2D 9D 4D 4S 6D 4C ,    Pair
4D 7S 8C KH 7H 5H 4C ,    High Card
10C 2D 9H 8H QS 9D AS ,    High Card
2C AH 6D JS 2S KC 6H ,    High Card
10D 6H QC AS 9D 3H 2D ,    High Card
KD 8C 6C AC 2S 4D 10H ,    High Card
8D 3C 5D JC 10S 6S 5S ,    High Card
2H KH 7C 7D QD AH 3S ,    Pair
AD 10H 4S QC 8H 4D 3C ,    High Card
2H 5D 6D 2C 5C JH 8S ,    High Card
KD 5H 6C AC 8C 10D JD ,    High Card
9D 4S 6D 7H 7C JC 9C ,    Pair
KS 8C 8H QD AD 2S 10D ,    Pair
7S JS 9S KH 2C QC 6S ,    High Card
3C 10C AS KC 7D 10S 6C ,    High Card
4H 8C JH 9H 8D 3D 3C ,    High Card
JC AC 5C 2H 5S 10H 7H ,    High Card
AD JD KD 10S QD AH QS ,    Flush
6H 9C 9H 5H 5S KH JH ,    Two Pair
7S JS 3C 4S QS QD 5C ,    Pair
QC JC KC 2C AC 2S 3D ,    Flush
4D 10H 2D 8S 4H 10C 10S ,    High Card
2H 4H JC 9D 7C 8S 5C ,    High Card
5H 4C 2S 7H 2D KS 10H ,    High Card
KD 8D 3H QH 6H 3D QS ,    High Card
5S 8S 6H 7D 8H 5D 10C ,    High Card
3C 4H 2H 8H 4C 2S AH ,    High Card
8C 10H 4S AD 3D 9C 8D ,    High Card
2D 3S 9H 3H 6D 7C QD ,    High Card
6S KC 5H JD 10D KS JC ,    High Card
7S 5C 10D 4C KD 8H 3H ,    High Card
AS 2S 9H 6C 5S JD AC ,    High Card
QD QH 5H 7C 2D 9D JS ,    Pair
5S 9H 7D 6H 2D AS KD ,    High Card
7S 9D 5C 3C 3S 6S KC ,    Pair
5H 4H 3H 7H AC QC KS ,    Flush
10C 9S 7C JH 10H QS AD ,    High Card
QC 2C 6H 4C 5H 5D 6D ,    Pair
6C AS QS AD KD JS QH ,    High Card
KC 2S 4H 4D 7H 10H 9D ,    Pair
5H 10H KS 9C JH AC KH ,    High Card
5C JD 5S 9S 6S 8D 4D ,    Pair
6H AH JS 6C 5D AD 10S ,    High Card
JC 2C QH 3S 4C 4H 8C ,    Pair
10C KD 8D KS 3D 6D 4H ,    High Card
6S AH 8C 10D 6C 4D 2S ,    High Card
5S 6H 9H 8H 10S 3H 5D ,    High Card
3S 3H 5D 6S QC 4D QS ,    Pair
5C AS AC QD 8S 4H 2C ,    Pair
2H 10D 3C 10S KC 9S 6D ,    High Card
2D 7D QH 6C AH JD 10H ,    High Card
AD 6D 9D JS 7C JC 4C ,    High Card
9S JD 4S 8H QH 4D 9C ,    High Card
3S QD 6S JH 5S 2D 2H ,    High Card
7C 2S 3C 10D 4C JS 8S ,    High Card
3S 8C 6D JD KH 7H QH ,    High Card
7D 9S 9C 5H 2C 3D 5S ,    Pair
9H AH JC KD AD AS QC ,    Pair
8C 2D 8D 7S 10D 6H KS ,    Pair
5D 7C 3S 4H 7D 8H AD ,    High Card
QC 5S 2H JC 9D 4C AS ,    High Card
10H QC 7H 2D 7D 6D 10D ,    High Card
JS QS JC 9H 6S 3D 2C ,    Pair
9D 8C 4S 2S KH 4C 10C ,    High Card
5C 4D 3C 3S AC 5H 3H ,    Pair
5D 3H 7C QC 9H AC JH ,    High Card
AS KH 10S 2H 5H 3D KC ,    High Card
JC QH 3S 3C 4H 9S AD ,    Pair
10H JS 5C 8S JH 2S 10D ,    High Card
8C 3S QS 10S 8H 3C 2D ,    High Card
JD JC 4S QC 3H 2H KS ,    Pair
9D 9C 3D 9H 6D 6C 10C ,    Two Pair
QH KH 2H 8D 9H 7H 7C ,    Flush
AH JH 4S 9D 7S KD 10C ,    High Card
JD 6S 5H 8H 2D 5D 5C ,    High Card
6H 8H 3D AS 2C 9H 5D ,    High Card
KD 3C 2D AH QS 9H KH ,    High Card
3S 4H 2C 6D 2S 7D JS ,    High Card
AD 8S 7H 6H 8H KC 3H ,    High Card
9D QD 3D 8D AS 10D 5D ,    Flush
9H 2S 10C 8H QD 2C AH ,    High Card
6S 6H 10H QS 6C KC 3S ,    Pair
5D AC 4C 5S 3H AS 8C ,    High Card
5D AS 8D JD JS 3C 7C ,    Pair
QS JH 6S 7H KC AH 9C ,    High Card
3D QC 6D 3H QD 8H 2S ,    High Card
4H 8S 4C 5H AC 9H QH ,    Pair
4H 6C JD QD 6H 3D 3S ,    High Card
2D AC 5C 8D 9H 8H KC ,    High Card
7S 6S 9S JS AD 4S 8S ,    Flush
2H 6C 9D KS 8C 3D AH ,    High Card
2S JS 5S 5D KC 7C 10H ,    Pair
5C QS 6D 3H 4H 3C KD ,    High Card
JH 3S AD 9C 8H 7S 8S ,    High Card
KH 8H JH 6D KD AH 4D ,    High Card
QC JS 10H AS 9H AC 6H ,    High Card
7S JC AD 5C 4H 5H 6C ,    High Card
3D 6S 2C 5C 2S 8H KH ,    High Card
4S 5S 7D 7C 8S 10S 5D ,    Pair
JD 2H 4D 9H 4C 10H QH ,    High Card
AH KC 8D AS JH 6D 6C ,    High Card
2H 7H 2D 10S KS 6D 9H ,    Pair
3D 7C 6C AS 5H 7S AH ,    High Card
AD 10H 9D 6H 3S QC 4S ,    High Card
5H 5C QC QS 9H QH QD ,    Pair
2D 8S 6H 2S KC 9C 3C ,    High Card
JC 7C 9D AD 6D JD JH ,    High Card
2H AS 4D AC 10H 3H 4S ,    High Card
KC 3H 4H 7S JS JH KD ,    Pair
10S 3C KH QH 2S QC 7D ,    High Card
4S JD 5C 9D 10C JC QS ,    High Card
JC 4D JD 5D 8S 6D KC ,    Pair
8H 9H 6H 10S KH 4H 9D ,    Flush
4C 4S AD 7H 5S 5H 8D ,    Two Pair
3D KS 2D AH 9S 10H 6C ,    High Card
AH AD 7S QD 9H 6S 8H ,    Pair
5S 10C 4S 5C 2S 3H 6H ,    Straight
3C 3S JH 7H 8C QC 8D ,    Pair
QH 9H 9S 5D 3S 2D AC ,    Pair
QD 4H 4S KS QC 6S 6H ,    Two Pair
10S 5H AH 3D 10D JS AD ,    High Card
QS 4C 2C 8C 7S 7C 3C ,    Pair
2S JC 4S 10C 4D 8D 2D ,    Pair
KC AH 8C 2H KH 7D 6H ,    High Card
7S JH 5C 6D KS 5S 9S ,    High Card
QS 8C AD KD 2H KC 4D ,    High Card
4H 6D AD 6H 8H 4C AS ,    High Card
9S 3S KH 10D 10C 2D KS ,    High Card
10H AC 2S 7D 7S 3D QS ,    Pair
KD 3C 7H 6S JS 6C 5C ,    High Card
8S 10H AH 5D 3D 3S KS ,    Pair
QC 8C 5C 2S 4H QD 10C ,    High Card
10S JS 9H AD AC KH JD ,    Pair
3C KS 10C 6D 8H 5S AS ,    High Card
QH KC 10S 4C 9S 7H 6C ,    High Card
9D KH 2C 6H AH 9C QC ,    High Card
10H AD 9H QS 2D 4H 5D ,    High Card
9C AS 7S 7H 8C QC 4S ,    Pair
JC 5H 4H 3S 10C 6D 5C ,    High Card
9D 6H 7C 6C 2H 5S 4C ,    High Card
JC 7H AD 8H 7C JD 6C ,    High Card
QD AS 10D 8C 2H JS 3S ,    High Card
QH 7D 3D QS 8D 4D 8S ,    High Card
9D 2S 6D 5D 5H 4C 5S ,    Pair
JH 2S 10S 2C 5H QD 9S ,    Pair
8S 8C AS 5D 7C 9D 4C ,    Pair
7H 2H 8H JC 5C 10H QH ,    High Card
6S 8D 7S JH 3C 10D 8S ,    High Card
JC 10S JS 7H 9S 3H 6H ,    Pair
QD KC 9H 10H 8H AH AC ,    High Card
5D 10C 4H KS 9C 3D JD ,    High Card
10C 6C JH QS AD 3H QD ,    High Card
9H 8S 10H 2D 3C AC 8H ,    High Card
JC 5D 2H 2C 6H QH 7C ,    Pair
3D 8S AS 5D AD 4C 3H ,    High Card
2D 3S AC KC KD 5C 4D ,    Pair
8D 6C 3C 6S JS QS KS ,    High Card
KH 4S 9H 9C AH 8C 4H ,    Pair
6S AD 2D 10D 9H JC 8H ,    High Card
9D QS 5S QD 8C 5D 8D ,    High Card
JH KD 10S JD KH KC QC ,    Two Pair
6H QD KH KD 6D 10S 4D ,    Pair
6C 5C 10D 9H 7S 9D AD ,    High Card
5S QC KC 4H 9C QH 7D ,    High Card
5D 10H 8H 2D 4S 8S 7H ,    High Card
6C 9C AD 10C 8D 5D 6S ,    High Card
6H 8H 2H 10D 5H AH KS ,    Flush
AC 9H 7S 10H KH JS 4S ,    High Card
4C KD 7C 8C 4H QC QD ,    High Card
2C 7H JD 7D JS 9D KS ,    High Card
10H 3C QH 6S 3D 2S JH ,    High Card
4S 6C 8D KH 9H 8H 10C ,    High Card
QH 5D AS 3H 7H QD 9S ,    High Card
10H 2D 3D 4D 9D 10C 8S ,    High Card
AH 3C 3S 7D 2H 5S QC ,    Pair
AC QC 5D JD QD AD 2D ,    High Card
6H AH 6S 9S KH 4S 8C ,    Pair
6D KS JC JH 10H JS 7C ,    Pair
7H 4C 2D KC AS 4D 3S ,    High Card
5S 9D KD 3C 8S 3D 2S ,    High Card
7C 6H 6D JC 3C AD JH ,    Pair
8H 3S 10C 7H 2D JD AH ,    High Card
4S KD 4D 2S 3D JS 8S ,    Pair
2D JH AH AS 6S KS 5H ,    Pair
KC KH QS 8H 9D 5C 5D ,    Two Pair
5S QH 2S QD 2H 4C KD ,    High Card
AC QC 3H JD 3C AD 3D ,    High Card
QS 2H 7H 8D 8S KH 10S ,    Pair
KS 3C 6H 6S 3S 10C JS ,    Pair
JC QD 8C QH 7S 9S 7C ,    High Card
7C 7D 8C 6D AH 5S 6C ,    Pair
2D 10D JC 9H KC 5D 2S ,    High Card
10S 4C 9D QC 7H QH QS ,    High Card
9C 8S 4S KH KD 4D 2H ,    Pair
JD 2S QS JS JH 7S 8C ,    Pair
8H 6C KH AD AS AC 2D ,    Pair
4H 4C 8D 7D 5H 9C 10H ,    Pair
2C KC 7D 10D 3S 8S 5D ,    High Card
AC 4C AD 4S 10C 7S 5C ,    Pair
JH 3H JD 9C QH 6D JS ,    Pair
10H JC 2S 2H 5H QC 5S ,    Pair
4S KH 6S 4H 5D 4C 6D ,    High Card
QS JD AC 5C JS 10D KD ,    High Card
7H 9D 10C 2H JC KC 4D ,    High Card
5C 4S AS 8H AC 8S 10H ,    High Card
5S 7C 5D JD 2S 6S JS ,    Pair
6H QD JH AD 8D 7S 7H ,    High Card
9S 10S 9C 2D JC 5H 3S ,    Pair
9S 2H JC AD 7S QH KH ,    High Card
4D 10S 8S JD 2D 7D 4S ,    High Card
10C AC 2S 8C KS 10D KC ,    Pair
6D 4H 10S 5D JH KH 9D ,    High Card
JS 5H 7H 7S 5C 7D JD ,    Pair
JC 4S 6H 3H AD 3S 10C ,    High Card
KD 3D 3C 9C AS 10H 6C ,    Pair
QC 6H 8S 2S 6S 5H 4D ,    High Card
